Program Information,Program Information,Program Information,Program Information,Program Information,Data Information,Program Info,Program Info,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Outcome Measures,Outcome Measures,Outcome Measures,Reference Information,Reference Information,Reference Information
Boise Watershed Watch,Monitoring the water quality of the Boise River and its tributaries from Lucky Peak to Star,Both,North America,Government,North America,2010,Ongoing,<100 km,Freshwater,Everything,No,NA,NA,All,Expert present,Some,All,240,2,117,2011,"Anyone interested:Citizen groups, schools, and families",Yes,expert present,in-person,Yes,expert present,in-person,0,Unknown,NA,http://bee.cityofboise.org/WaterShed/Learn/WatershedWatch/index.aspx,Scistarter,2012-02-01
Bosque Ecosystem Monitoring Program (BEMP) ,"It is a long-term program to study the Rio Grande's riverside forest, known locally by its Spanish NAme, ""bosque"" It has two main objectives The first is to involve citizen volunteers (mostly k-12 students) in monitoring key variables that reflect bosque ecosystem structure, functioning, and biodiversity at sites with different flooding histories The second objective is to track environmental trends and make this information available to resource agencies and researchers who maNAge and study the Rio Grande bosque ",Both,North America,Academic,North America,1996,Ongoing,Unknown,"Terrestrial, aquatic","Plants, arthropods",Some,Productivity of vegetation,NA,Unknown,NA,All,All,Unknown,Unknown,634,2002,"Students, teachers and others",Yes,web instructions,electronic,Yes,Illustrations for arthropod ID,electronic,0,Unknown,NA,http://www.bosqueschool.org/BEMP.aspx,EPA,2012-03-30
Brazos Basin Volunteer Citizens' Monitoring Program ,"Water quality education, community involvement in local watersheds, and communication between all involved parties",Education,North America,Government,North America,1991,Ongoing,Unknown,Multiple,"Aquatic plants, bacteria, birds, fish",No,NA,NA,Unknown,NA,Some,Unknown,Unknown,Unknown,406,2002,Anyone interested with access to water that is interested,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,NA,http://www.Brazos.org,EPA,2012-04-05
Breeding Bird Survey,Monitoring the population changes of the UK’s common breeding birds,Data,Europe,NGO,Europe,1994,Ongoing,<1000 km,Terrestrial,"Birds, mammals, butterflies",No,breeding phenology,NA,None,NA,Some,All,Unknown,Unknown,1000,Unknown,Anyone interested,Yes,training session,in-person,Yes,online,electronic,37,Unknown,NA,http://www.bto.org/volunteer-surveys/bbs,Scistarter,2012-04-20
British Columbia Butterfly Atlas,"The purpose of the British Columbia Butterfly Atlas is to promote the conservation of butterflies in British Columbia, CaNAda by gathering information on the distribution and abundance of butterflies in the province through citizen-based butterfly surveys and record reporting Increase public interest in butterflies and involvement in butterfly watching in British Columbia; Promote butterfly populations as a useful conservation monitoring tool; Increase information on the distribution, abundance, and habitat relationships of butterflies in British Columbia; and Increase support and resources for the conservation of butterflies and their habitats",Data,North America,Individual,North America,2011,Ongoing,<100 km,Terrestrial,Butterflies,No,NA,NA,All,Photo,All,None,1,1,1,2012,Anyone interested,No,NA,NA,Yes,links & photos online,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/british-columbia-butterfly-atlas,iNaturalist,2012-05-23
Brodhead Watershed Association; Citizen Streamwatch Program ,"Volunteers monitor over 100 sites on a monthly basis for water and air temperature, pH, nitrates, and phosphates We test annually for BOD and fecal coliform The data is entered into a database used to provide a graphic, long-term sNApshot of the health of the streams The largest benefit of the program, however, is the continued stewardship that volunteers provide by observing the day- to-day changes in their stream",Data,North America,NGO,North America,1991,Ongoing,<1000 km,Freshwater,"Bacteria, fish, macroinvertebrates",No,NA,NA,Unknown,NA,Some,Unknown,Unknown,Unknown,91,2002,"Anyone interested, students",Yes,training,in-person,Yes,training,in-person,0,Unknown,NA,www.brodheadwatershed.org/streamwatchers.html,EPA,2012-03-29
Bronx River Watershed,Catalog the life that makes up the Bronx River Watershed,Data,North America,NGO,North America,2012,Ongoing,<1000 km,"Freshwater, terrestrial, marine","Birds, reptiles, mammals, molluscs, fish, insects, arachnids, crustaceans, plants, fungus, algae",No,NA,NA,All,Photo,All,None,4,1,4,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/bronx-river-watershed,iNaturalist,2012-05-02
Butterflies and Moths of North America,"Butterflies and Moths of North America (BAMONA) is seeking individuals to submit their sightings of butterflies and moths BAMONA is a user-friendly web site and database that shares butterfly and moth species information with the public via dyNAmic maps, checklists, and species pages Data are updated regularly and come from a variety of sources, including citizen scientists Individuals can get involved by documenting butterflies and moths in their neighborhoods and submitting photographs for review Collaborating lepidopterists serve as coordiNAtors and oversee quality control ",Data,North America,NGO,North America,2004,Ongoing,<10000 km,Terrestrial,Butterflies (and caterpillars) and moths,No,NA,NA,Some,Photo,Some,None,Unknown,Unknown,10372,2012,Anyone interested,Yes,online,electronic,Yes,online,electronic,0,Unknown,NA,http://www.butterfliesandmoths.org/,Scistarter,
Ca Newt Watch,Tracking of annual CA Newt (Taricha Torosa) migration in SF East Bay community ,Data,North America,NGO,North America,2011,Ongoing,<1000 km,"Terrestrial, freshwater",California newt,No,migration,NA,All,Photo,All,None,2,2,2,2012,Anyone interested,No,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/ca-newt-watch,iNaturalist,2012-05-02
California Academy of Sciences: Living Roof Project,"Learn about the Academy’s unique roof ecosystem while contributing to important baseline data regarding the many plants, birds and arthropods that inhabit and utilize the Living Roof’s 25 acres of green space 1) Monitoring the plant, bird and arthropod diversity on the Living Roof 2) Educating the public about green roofs, NAtive flora and fauNA, and the scientific process 3) Promoting community involvement in real, hands-on science at the Academy 4) Utilizing the educational/research potential the Living Roof offers",Both,North America,NGO,North America,2009,Ongoing,<10 km,Terrestrial,"Plants, birds and arthropods",No,NA,NA,All,Expert present,Some,All,Unknown,Unknown,67,2011,12 and older,Yes,workshops,in-person,Yes,workshop  & online material,combo,0,Unknown,NA,http://www.calacademy.org/science/citizen_science/livingroof/,Scistarter,2012-05-24
California NatureMapping,"The NatureMapping Foundation was established to provide support to the Program and NatureMapping Centers, distribute products, and provide services (eg, bioblitzes, reports, and analyses)The NatureMapping Program's vision is environmental stewardship of communities through school, community, agency, and business partnershipsIts' mission is to protect biodiversity through data collection and dissemiNAtion",Both,North America,NGO,North America,Unknown,Ongoing,<10 km,"Marine, terrestrial, freshwater, estuarine","Amphibians, mammals, birds, reptiles",No,NA,NA,Unknown,NA,Some,Some,Unknown,Unknown,Unknown,NA,K-12 school kids,Yes,electronic,electronic,Yes,pdf lists,electronic,0,Unknown,NA,http://Naturemappingfoundation.org/Natmap/about/state/california.html,Cornell Citizen Science Central,2012-05-23
California Roadkill Observation System,"We have created this site to provide a way for people like you to report roadkill so that we can understand and try to influence the factors that contribute to roadkill Information about where wildlife vehicle collisions occur, what animals are involved, on what kinds of roads are collisions frequent, and other data can help inform policy, maNAgement, and fiNAncial investment in reducing road-kill We will present data back to collaborators on the site and use the data to improve our collective understanding of how road-kills occur and what we can do to reduce them",Data,North America,Academic,North America,2009,Ongoing,<10000 km,Terrestrial,"Amphibian, birds, mammals, reptiles",No,NA,NA,Some,Photo,All,Some,689,27,Unknown,Unknown,Anyone interested,Yes,online directions for transect monitoring,electronic,Yes,"online list of CA wildlife and links to other sources with more information, ",electronic,0,Unknown,NA,http://www.wildlifecrossing.net/,Scistarter,2012-02-15
Camas Citizen Science Monitoring Program,To engage high school volunteers as ‘Citizen Scientists‘ in the long range scientific monitoring of camas populations,Both,North America,"Government, NGO, Academic",North America,2007,Ongoing,<10 km,Terrestrial,Camassia quamash,Yes,NA,NA,All,Expert present,Some,All,Unknown,Unknown,41389,2011,High school students,Yes,in-person,in-person,Yes,"in-person, pdf online",combo,0,Yes,"Pdf evaluations, pre and post",http://science.Nature.nps.gov/im/units/ucbn/educ_camas/index.cfm,Scistarter,2012-03-05
CamClickr,CamClickr will help answer questions that can only be answered using webcams while providing scientists with a tool to search and sort images once they are tagged,Both,North America,Academic,North America,2008,Ongoing,>10000 km,Terrestrial,Birds,No,"classify breeding behaviors of birds courting, mating, laying eggs, and raising young",NA,All,Photo,Some,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online material,electronic,Yes,Online material,electronic,1,Unknown,NA,http://watch.birds.cornell.edu/nestcams/clicker/clicker/index,NA,2012-03-05
Cape Cod EOL Collection,Unknown,Unknown,North America,Unknown,North America,2012,Ongoing,<100 km,"Terrestrial, marine","Fungi, mollusks, butterfly",No,NA,NA,All,Photo,All,None,6,1,6,2012,Anyone interested,No,NA,NA,Yes,links & photos online,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/cape-cod-eol-collection,iNaturalist,2012-05-23
Cape Cod Osprey Project,"The Cape Cod Osprey project seeks to map and track all of the Osprey nests on Cape Cod, Massachusetts Since 2008 we have mapped over 220 nest locations, many more than were thought to exist on the Cape Using our network of volunteers we have collected productivity data (number of chicks fledged/pair) on up to 140 nests We are looking for volunteers to help monitor nesting behavior of ospreys and help us map new nest locations",Data,North America,NGO,North America,2008,Ongoing,Unknown,"Terrestrial, freshwater, marine, estuarine",Osprey,No,nesting,NA,Unknown,NA,None,Unknown,Unknown,Unknown,Unknown,Unknown,Anyone interested,Unknown,NA,Unknown,Unknown,NA,Unknown,0,Unknown,NA,Unknown,Scistarter,2012-05-08
Cascades Butterfly Project,They are monitoring butterfly population responses to climate change in North Cascades National Park and Mount Rainier National Park Trained participants hike to scenic alpine meadows and help scientists identify and count butterflies along the way (Scistarter),Data,North America,Government,North America,2011,Ongoing,<1000 km,Terrestrial,Butterflies (Lepidoptera),No,NA,NA,Some,Expert and photo,Some,Yes,Unknown,Unknown,Unknown,NA,Anyone interested who participates in the training program (many hikers),Yes,participants must do a day of training and with experts,in-person,Yes,"in-person, photo resources",combo,0,Unknown,NA,http://www.Nationalparkstraveler.com/2011/08/citizen-scientists-wanted-cascades-butterfly-project8569,Scistarter,2012-02-07
Celebrate Urban Birds,"An opportunity for everyone across the country to watch birds and participate in activities focused on birds and neighborhood habitat improvement use data collected from participants in the celebration to study these resident and migratory birds - their numbers, their behavior, their interaction with the urban habitat",Both,North America,Academic,North America,Unknown,Ongoing,<10000 km,Terrestrial,Birds,No,"phenology, breeding, migration",NA,None,NA,All,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,web instructions and training kit,combo,Yes,Website pictures and descriptions and training kit,combo,0,Unknown,NA,http://www.birds.cornell.edu/celebration,Cornell Citizen Science Central,2012-05-11
Central texas Biodiversity Study,"Terratech Biological would like to aid in putting forth the effort to document as many species living in the Central Texas area as is possible, but to so is a very large undertaking To put it simply: we need your help",Data,North America,For profit,North America,2011,Ongoing,<100 km,"Terrestrial, freshwater",Everything,No,NA,NA,All,Photo,All,None,5,1,5,2012,Anyone interested,Yes,website instructions,electronic,Yes,website photos,electronic,0,Unknown,NA,http://terratechbiological.com/projects/central-texas-biodiversity-survey,Project Noah,2012-05-25
