Organisms	Record_Count	%of296,871
Phenacoccus Manihoti	33	0.011
Pseudocheirus Peregrinus	33	0.011
Pteromys Volans	33	0.011
Thunnus Thynnus	33	0.011
Thymallus Arcticus	33	0.011
Trypanosoma Cruzi	33	0.011
Ailurus Fulgens	32	0.011
Alouatta Palliata	32	0.011
Annelida	32	0.011
Aplodinotus Grunniens	32	0.011
Aquila Fasciata	32	0.011
Blarina Brevicauda	32	0.011
Cactoblastis Cactorum	32	0.011
Chrysocyon Brachyurus	32	0.011
Ctenopharyngodon Idellus	32	0.011
Encyrtidae	32	0.011
Entosphenus Tridentatus	32	0.011
Forficula Auricularia	32	0.011
Gymnocephalus Cernuus	32	0.011
Hirudinea	32	0.011
Macropus Fuliginosus	32	0.011
Petaurus Norfolcensis	32	0.011
Picoides Arcticus	32	0.011
Pooecetes Gramineus	32	0.011
Salvelinus Leucomaenis	32	0.011
Solenopsis Geminata	32	0.011
Tadarida Brasiliensis	32	0.011
Trichodina	32	0.011
Acipenser Stellatus	31	0.010
Aedes	31	0.010
Alouatta Pigra	31	0.010
Ambloplites Rupestris	31	0.010
Anguilla Australis	31	0.010
Anodonta Cygnea	31	0.010
Catostomus Catostomus	31	0.010
Cherax Destructor	31	0.010
Cryptolaemus Montrouzieri	31	0.010
Cuon Alpinus	31	0.010
Diabrotica Barberi	31	0.010
Dryocosmus Kuriphilus	31	0.010
Egretta Thula	31	0.010
Euschistus Servus	31	0.010
Halictidae	31	0.010
Hippopotamus Amphibius	31	0.010
Lemuriformes	31	0.010
Loxodonta Cyclotis	31	0.010
Macquaria Australasica	31	0.010
Meloidogyne Javanica	31	0.010
Microtus	31	0.010
Oncorhynchus Clarki	31	0.010
Oryzaephilus Surinamensis	31	0.010
Parus Caeruleus	31	0.010
Petaurus Breviceps	31	0.010
Prostephanus Truncatus	31	0.010
Raoiella Indica	31	0.010
Rhinocyllus Conicus	31	0.010
Salamandra Salamandra	31	0.010
Tremarctos Ornatus	31	0.010
Trochilidae	31	0.010
Acrocephalus Scirpaceus	30	0.010
Aegolius Funereus	30	0.010
Anabas Testudineus	30	0.010
Aphytis Melinus	30	0.010
Canidae	30	0.010
Cervus Elaphus Nelsoni	30	0.010
Charadrius Montanus	30	0.010
Clarias Macrocephalus	30	0.010
Coregonus Artedi	30	0.010
Dendrocopos Major	30	0.010
Dendroica Cerulea	30	0.010
Dytiscidae	30	0.010
Encarsia	30	0.010
Eremophila Alpestris	30	0.010
Fulica Americana	30	0.010
Genetta Genetta	30	0.010
Geocoris Punctipes	30	0.010
Gila Elegans	30	0.010
Gobiocypris Rarus	30	0.010
Grus Japonensis	30	0.010
Hoplias Malabaricus	30	0.010
Lemur Catta	30	0.010
Lipaphis Erysimi	30	0.010
Macaca Sylvanus	30	0.010
Milvus Migrans	30	0.010
Myxogastria	30	0.010
Oncorhynchus Clarkii Lewisi	30	0.010
Osmoderma Eremita	30	0.010
Pekania Pennanti	30	0.010
Phoxinus Phoxinus	30	0.010
Picoides Villosus	30	0.010
Portunus Trituberculatus	30	0.010
Pseudoplatystoma Corruscans	30	0.010
Psittacula Krameri	30	0.010
Puma Concolor Coryi	30	0.010
Rachycentron Canadum	30	0.010
Rhinopithecus Roxellana	30	0.010
Sarcocystis	30	0.010
Scardinius Erythrophthalmus	30	0.010
Seriola Lalandi	30	0.010
Sialia Sialis	30	0.010
Strix Occidentalis	30	0.010
Tenebrio Molitor	30	0.010
Varroa Destructor	30	0.010
Zenaida Macroura	30	0.010
Acipenser Medirostris	29	0.010
Amblyomma Americanum	29	0.010
Aphis Spiraecola	29	0.010
Austropotamobius Torrentium	29	0.010
Bidyanus Bidyanus	29	0.010
Branchiopoda	29	0.010
Campostoma Anomalum	29	0.010
Chironomus	29	0.010
Culex Tarsalis	29	0.010
Dinoflagellida	29	0.010
Epirrita Autumnata	29	0.010
Grus Canadensis	29	0.010
Gyrodactylus	29	0.010
Hyla Arborea	29	0.010
Insectivora	29	0.010
Ixobrychus Exilis	29	0.010
Jasus Edwardsii	29	0.010
Lagopus Lagopus Scoticus	29	0.010
Larus Delawarensis	29	0.010
Lycosidae	29	0.010
Maculinea Nausithous	29	0.010
Mamestra Brassicae	29	0.010
Megachilidae	29	0.010
Melospiza Melodia	29	0.010
Myxobolus	29	0.010
Passer Montanus	29	0.010
Penaeus Japonicus	29	0.010
Petaurus Australis	29	0.010
Petrogale Penicillata	29	0.010
Plasmodium Falciparum	29	0.010
Rhinoceros Unicornis	29	0.010
Rhinolophus Ferrumequinum	29	0.010
Rhinolophus Hipposideros	29	0.010
Sphingidae	29	0.010
Tetranychus Evansi	29	0.010
Tetranychus Kanzawai	29	0.010
Toxoplasma Gondii	29	0.010
Agromyzidae	28	0.009
Alopex Lagopus	28	0.009
Ambystoma Macrodactylum	28	0.009
Apis	28	0.009
Ateles Geoffroyi	28	0.009
Bactericera Cockerelli	28	0.009
Calanoida	28	0.009
Canis Mesomelas	28	0.009
Ceratopogonidae	28	0.009
Ceratotherium Simum Simum	28	0.009
Chen Caerulescens Caerulescens	28	0.009
Clupea Harengus	28	0.009
Daphnia Galeata	28	0.009
Diadegma Semiclausum	28	0.009
Dreissena	28	0.009
Elasmobranchii	28	0.009
Elateridae	28	0.009
Felis Silvestris Silvestris	28	0.009
Galliformes	28	0.009
Glyptemys Insculpta	28	0.009
Hesperioidea	28	0.009
Laricobius Nigrinus	28	0.009
Lepomis	28	0.009
Litoria Aurea	28	0.009
Micropterus	28	0.009
Mylopharyngodon Piceus	28	0.009
Myotis Daubentonii	28	0.009
Orius Laevigatus	28	0.009
Pecten Maximus	28	0.009
Rhopalosiphum Maidis	28	0.009
Sarotherodon Mossambicus	28	0.009
Scolopax Minor	28	0.009
Sogatella Furcifera	28	0.009
Steinernema Glaseri	28	0.009
Steinernematidae	28	0.009
Streblidae	28	0.009
Unio Crassus	28	0.009
Acipenseridae	27	0.009
Aethina Tumida	27	0.009
Alligator Sinensis	27	0.009
Aquila Heliaca	27	0.009
Aythya Collaris	27	0.009
Bactrocera Tryoni	27	0.009
Bonasa Bonasia	27	0.009
Chersophilus Duponti	27	0.009
Chondrostoma Nasus	27	0.009
Corvidae	27	0.009
Coturnix Coturnix	27	0.009
Crocodylus Porosus	27	0.009
Eleutherodactylus Coqui	27	0.009
Empidonax Virescens	27	0.009
Fasciola Hepatica	27	0.009
Felis Silvestris Catus	27	0.009
Fenneropenaeus Chinensis	27	0.009
Gorilla Gorilla	27	0.009
Gyps Africanus	27	0.009
Hypomesus Transpacificus	27	0.009
Linyphiidae	27	0.009
Lycaeides Melissa Samuelis	27	0.009
Macrochelys Temminckii	27	0.009
Melanoides Tuberculata	27	0.009
Mononychellus Tanajoa	27	0.009
Neochetina Bruchi	27	0.009
Nicrophorus Americanus	27	0.009
Nyctalus Noctula	27	0.009
Odocoileus	27	0.009
Pagrus Pagrus	27	0.009
Panthera Tigris Sumatrae	27	0.009
Physa Acuta	27	0.009
Prymnesium Parvum	27	0.009
Pseudacris Regilla	27	0.009
Ruditapes Philippinarum	27	0.009
Setophaga Ruticilla	27	0.009
Sitotroga Cerealella	27	0.009
Strix Occidentalis Lucida	27	0.009
Strix Occidentalis Occidentalis	27	0.009
Takifugu Rubripes	27	0.009
Tribolium Confusum	27	0.009
Unio Tumidus	27	0.009
Vireo Olivaceus	27	0.009
Accipitridae	26	0.009
Acipenser Schrenckii	26	0.009
Alcelaphus Buselaphus	26	0.009
Ambystoma Opacum	26	0.009
Anticarsia Gemmatalis	26	0.009
Coccidia	26	0.009
Colaptes Auratus	26	0.009
Coregonus Hoyi	26	0.009
Cynoglossus Semilaevis	26	0.009
Dasyurus Hallucatus	26	0.009
Dicamptodon Tenebrosus	26	0.009
Equus Hemionus	26	0.009
Euhrychiopsis Lecontei	26	0.009
Fringilla Coelebs	26	0.009
Geronticus Eremita	26	0.009
Glycaspis Brimblecombei	26	0.009
Gorilla Beringei Beringei	26	0.009
Heterodera Glycines	26	0.009
Limnothlypis Swainsonii	26	0.009
Macrolepidoptera	26	0.009
Malaclemys Terrapin	26	0.009
Microplitis Croceipes	26	0.009
Monochamus Alternatus	26	0.009
Mustelidae	26	0.009
Pan Troglodytes Troglodytes	26	0.009
Pipistrellus Pygmaeus	26	0.009
Rusa Unicolor	26	0.009
Salminus Brasiliensis	26	0.009
Seiurus Aurocapillus	26	0.009
Tympanuchus Cupido	26	0.009
Tyrophagus Putrescentiae	26	0.009
Unio Pictorum	26	0.009
Xenopus Laevis	26	0.009
Acrocephalus Paludicola	25	0.008
Agrotis Ipsilon	25	0.008
Amblema Plicata	25	0.008
Ammotragus Lervia	25	0.008
Aphelocoma Coerulescens	25	0.008
Arapaima Gigas	25	0.008
Ascaphus Truei	25	0.008
Aythya Fuligula	25	0.008
Aythya Marila	25	0.008
Barbastella Barbastellus	25	0.008
Betta Splendens	25	0.008
Branta Leucopsis	25	0.008
Brycon Orbignyanus	25	0.008
Caiman Latirostris	25	0.008
Cervus Unicolor	25	0.008
Chalinolobus Tuberculatus	25	0.008
Choristoneura Rosaceana	25	0.008
Corvus Brachyrhynchos	25	0.008
Corvus Corone	25	0.008
Cotesia Glomerata	25	0.008
Crocidura Russula	25	0.008
Cryptosporidium	25	0.008
Dendroica Chrysoparia	25	0.008
Dikerogammarus Villosus	25	0.008
Equus Quagga	25	0.008
Eretmocerus	25	0.008
Eriophyoidea	25	0.008
Gallinago Gallinago	25	0.008
Gila Robusta	25	0.008
Grapholita Molesta	25	0.008
Hippocamelus Bisulcus	25	0.008
Ictalurus Nebulosus	25	0.008
Ips	25	0.008
Isoodon Obesulus	25	0.008
Leontopithecus Chrysomelas	25	0.008
Liriomyza Huidobrensis	25	0.008
Macrotis Lagotis	25	0.008
Marsupenaeus Japonicus	25	0.008
Megacopta Cribraria	25	0.008
Muntiacus Reevesi	25	0.008
Myiopsitta Monachus	25	0.008
Octopus Vulgaris	25	0.008
Odocoileus Hemionus Columbianus	25	0.008
Ophicephalus Punctatus	25	0.008
Phalacrocorax Carbo Sinensis	25	0.008
Pheidole Megacephala	25	0.008
Piezodorus Guildinii	25	0.008
Pityogenes Chalcographus	25	0.008
Planococcus Ficus	25	0.008
Plethodontidae	25	0.008
Prosopium Williamsoni	25	0.008
Rangifer Tarandus Tarandus	25	0.008
Rhinichthys Osculus	25	0.008
Salmoninae	25	0.008
Sciuridae	25	0.008
Selachimorpha	25	0.008
Sistrurus Catenatus	25	0.008
Streptopelia Decaocto	25	0.008
Streptopelia Turtur	25	0.008
Taxidea Taxus	25	0.008
Terebrantia	25	0.008
Testudo Graeca	25	0.008
Troglodytes Aedon	25	0.008
Accipiter Cooperii	24	0.008
Acipenser Naccarii	24	0.008
Acrocephalus Arundinaceus	24	0.008
Alosa Aestivalis	24	0.008
Ambystoma Californiense	24	0.008
Anas Americana	24	0.008
Anostraca	24	0.008
Anthocoridae	24	0.008
Anthonomus Grandis	24	0.008
Aphidoletes Aphidimyza	24	0.008
Callithrix Jacchus	24	0.008
Canis Simensis	24	0.008
Chaoborus	24	0.008
Choristoneura Occidentalis	24	0.008
Columba Palumbus	24	0.008
Coptotermes Gestroi	24	0.008
Cricetidae	24	0.008
Curculionoidea	24	0.008
Dendroctonus	24	0.008
Eretmocerus Mundus	24	0.008
Gammarus	24	0.008
Gazella Gazella	24	0.008
Gazella Subgutturosa	24	0.008
Glis Glis	24	0.008
Gyps Coprotheres	24	0.008
Gyrodactylus Salaris	24	0.008
Haliotis Midae	24	0.008
Hesperiidae	24	0.008
Heterorhabditidae	24	0.008
Hydroprogne Caspia	24	0.008
Hyriopsis Cumingii	24	0.008
Ips Grandicollis	24	0.008
Leptocybe Invasa	24	0.008
Leuciscus Leuciscus	24	0.008
Lygus Lineolaris	24	0.008
Maccullochella Peelii	24	0.008
Macrobrachium Amazonicum	24	0.008
Malacosoma Disstria	24	0.008
Notophthalmus Viridescens	24	0.008
Numenius Arquata	24	0.008
Nyctalus Leisleri	24	0.008
Nycticeius Humeralis	24	0.008
Orconectes Propinquus	24	0.008
Pelecanus Erythrorhynchos	24	0.008
Phlebotomus Papatasi	24	0.008
Picoides Pubescens	24	0.008
Plecotus Auritus	24	0.008
Psychodidae	24	0.008
Pterophyllum Scalare	24	0.008
Rana	24	0.008
Rhinopithecus Bieti	24	0.008
Saltatoria	24	0.008
Simulium	24	0.008
Stylommatophora	24	0.008
Tamias Striatus	24	0.008
Tapirus Bairdii	24	0.008
Anguilla	23	0.008
Anopheles Funestus	23	0.008
Anthus Spragueii	23	0.008
Aphidius Rhopalosiphi	23	0.008
Apteryx Mantelli	23	0.008
Artemia Salina	23	0.008
Arvicola Terrestris	23	0.008
Asio Flammeus	23	0.008
Aythya Americana	23	0.008
Calcarius Ornatus	23	0.008
Canis Lupus Baileyi	23	0.008
Capra Aegagrus	23	0.008
Catharus Ustulatus	23	0.008
Circus Aeruginosus	23	0.008
Cotesia Flavipes	23	0.008
Cottus Bairdi	23	0.008
Cryptosporidium Parvum	23	0.008
Cyprinella Lutrensis	23	0.008
Daphnia Longispina	23	0.008
Daphnia Pulicaria	23	0.008
Dendrocopos Leucotos	23	0.008
Dendrocopos Medius	23	0.008
Dicerorhinus Sumatrensis	23	0.008
Eldana Saccharina	23	0.008
Empidonax Traillii Extimus	23	0.008
Equus Asinus	23	0.008
Euglossini	23	0.008
Gallinula Chloropus	23	0.008
Helarctos Malayanus	23	0.008
Hippodamia Variegata	23	0.008
Hippotragus Equinus	23	0.008
Homalodisca Vitripennis	23	0.008
Hydropsyche	23	0.008
Lithobates Pipiens	23	0.008
Macropodidae	23	0.008
Maculinea Alcon	23	0.008
Manduca Sexta	23	0.008
Meligethes Aeneus	23	0.008
Melursus Ursinus	23	0.008
Mercenaria Mercenaria	23	0.008
Metaseiulus Occidentalis	23	0.008
Microtus Cabrerae	23	0.008
Myodes Gapperi	23	0.008
Mytiloidea	23	0.008
Neoseiulus Fallacis	23	0.008
Odocoileus Virginianus Clavium	23	0.008
Perameles Gunnii	23	0.008
Perimyotis Subflavus	23	0.008
Peromyscus	23	0.008
Phthorimaea Operculella	23	0.008
Pinctada Fucata	23	0.008
Platichthys Flesus	23	0.008
Pomphorhynchus Laevis	23	0.008
Pongo Abelii	23	0.008
Prionailurus Bengalensis	23	0.008
Pseudopleuronectes Americanus	23	0.008
Pyralidae	23	0.008
Rana Luteiventris	23	0.008
Rhea Americana	23	0.008
Scirtothrips Dorsalis	23	0.008
Sciurus Niger	23	0.008
Silurus Asotus	23	0.008
Sitta Europaea	23	0.008
Sphenodon Punctatus	23	0.008
Sternotherus Odoratus	23	0.008
Tandanus Tandanus	23	0.008
Terrapene Carolina Carolina	23	0.008
Testudo Hermanni	23	0.008
Thripidae	23	0.008
Thunnus Albacares	23	0.008
Thunnus Maccoyii	23	0.008
Trichogramma Brassicae	23	0.008
Trichogramma Evanescens	23	0.008
Acipenseriformes	22	0.007
Amblyseius Andersoni	22	0.007
Ameiurus Melas	22	0.007
Anoplolepis Gracilipes	22	0.007
Anoplura	22	0.007
Anserini	22	0.007
Apalone Spinifera	22	0.007
Apodemus Agrarius	22	0.007
Asio Otus	22	0.007
Aythya Valisineria	22	0.007
Bombus Pascuorum	22	0.007
Bos Gaurus	22	0.007
Bubalus Bubalis	22	0.007
Bufo Boreas	22	0.007
Capillaria	22	0.007
Capra Ibex	22	0.007
Carassius Auratus Gibelio	22	0.007
Caretta Caretta	22	0.007
Catostomus Latipinnis	22	0.007
Channa Striata	22	0.007
Channa Striatus	22	0.007
Chrysoperla Externa	22	0.007
Coronella Austriaca	22	0.007
Crocodylus Acutus	22	0.007
Diadegma Insulare	22	0.007
Diplostomum	22	0.007
Dorosoma Petenense	22	0.007
Eoreuma Loftini	22	0.007
Equus Ferus Przewalskii	22	0.007
Eriosoma Lanigerum	22	0.007
Euphydryas Aurinia	22	0.007
Galemys Pyrenaicus	22	0.007
Geothlypis Trichas	22	0.007
Graptemys Geographica	22	0.007
Haematobia Irritans	22	0.007
Hippotragus Niger	22	0.007
Homoptera	22	0.007
Hyphantria Cunea	22	0.007
Lampsilis Siliquoidea	22	0.007
Lepomis Auritus	22	0.007
Lepomis Microlophus	22	0.007
Ligula Intestinalis	22	0.007
Mallophaga	22	0.007
Microtus Ochrogaster	22	0.007
Moina Macrocopa	22	0.007
Myotis Myotis	22	0.007
Myotis Nattereri	22	0.007
Myrmecophaga Tridactyla	22	0.007
Ochotona Curzoniae	22	0.007
Oniscidea	22	0.007
Penaeidae	22	0.007
Pheidole	22	0.007
Podiceps Cristatus	22	0.007
Podisus Nigrispinus	22	0.007
Podocnemis Expansa	22	0.007
Porzana Carolina	22	0.007
Pseudoplatystoma Reticulatum	22	0.007
Pteronura Brasiliensis	22	0.007
Pulmonata	22	0.007
Pygoscelis Adeliae	22	0.007
Rana Dalmatina	22	0.007
Rana Draytonii	22	0.007
Rhinichthys Cataractae	22	0.007
Rostrhamus Sociabilis	22	0.007
Sander Canadensis	22	0.007
Sorex Cinereus	22	0.007
Taeniopygia Guttata	22	0.007
Tayassu Tajacu	22	0.007
Turdus Philomelos	22	0.007
Vicugna Vicugna	22	0.007
Zygoptera	22	0.007
Accipiter Striatus	21	0.007
Aceria Guerreronis	21	0.007
Acipenser Baeri	21	0.007
Acipenser Oxyrinchus	21	0.007
Ambystoma Jeffersonianum	21	0.007
Anas Penelope	21	0.007
Anguilla Dieffenbachii	21	0.007
Bettongia Lesueur	21	0.007
Biomphalaria Pfeifferi	21	0.007
Bombus Impatiens	21	0.007
Camponotus	21	0.007
Cathartes Aura	21	0.007
Catharus Bicknelli	21	0.007
Chelodina Longicollis	21	0.007
Compsilura Concinnata	21	0.007
Cryptobranchus Alleganiensis Alleganiensis	21	0.007
Cuniculus Paca	21	0.007
Dalbulus Maidis	21	0.007
Diporeia	21	0.007
Drosophila Simulans	21	0.007
Drosophila Subobscura	21	0.007
Emberiza Calandra	21	0.007
Galerucella Calmariensis	21	0.007
Garrulus Glandarius	21	0.007
Geocoris	21	0.007
Globodera Pallida	21	0.007
Gyps Bengalensis	21	0.007
Gyrinophilus Porphyriticus	21	0.007
Haliotis Laevigata	21	0.007
Herpestes Ichneumon	21	0.007
Histeridae	21	0.007
Hybognathus Amarus	21	0.007
Ixodes Scapularis	21	0.007
Larus Dominicanus	21	0.007
Larus Marinus	21	0.007
Lepus Californicus	21	0.007
Lithobates Clamitans	21	0.007
Macaca Fascicularis	21	0.007
Maccullochella Peelii Peelii	21	0.007
Macropus Robustus	21	0.007
Mastomys Natalensis	21	0.007
Melanaphis Sacchari	21	0.007
Melanoplus Sanguinipes	21	0.007
Muscidae	21	0.007
Mysis Relicta	21	0.007
Palaemonetes Pugio	21	0.007
Panthera Leo Persica	21	0.007
Papilionidae	21	0.007
Phratora Vulgatissima	21	0.007
Picoides Tridactylus	21	0.007
Placopecten Magellanicus	21	0.007
Pratylenchus	21	0.007
Pseudois Nayaur	21	0.007
Psittacidae	21	0.007
Pteropodidae	21	0.007
Rallus Limicola	21	0.007
Rana Arvalis	21	0.007
Rissa Tridactyla	21	0.007
Salticidae	21	0.007
Sarcophagidae	21	0.007
Scolopax Rusticola	21	0.007
Setonix Brachyurus	21	0.007
Setophaga Cerulea	21	0.007
Siniperca Chuatsi	21	0.007
Sorex Minutus	21	0.007
Spizella Breweri	21	0.007
Tetracapsuloides Bryosalmonae	21	0.007
Trypodendron Lineatum	21	0.007
Unionacea	21	0.007
Varanus Niloticus	21	0.007
Wasmannia Auropunctata	21	0.007
Zonotrichia Albicollis	21	0.007
Acipenser Sturio	20	0.007
Aedes Triseriatus	20	0.007
Alectoris Chukar	20	0.007
Ammodramus Bairdii	20	0.007
Aphidius Matricariae	20	0.007
Apis Mellifera Scutellata	20	0.007
Aporrectodea Longa	20	0.007
Aporrectodea Trapezoides	20	0.007
Argyrosomus Regius	20	0.007
Athene Cunicularia Hypugaea	20	0.007
Atractosteus Spatula	20	0.007
Bactrocera Invadens	20	0.007
Blattodea	20	0.007
Bombina Variegata	20	0.007
Burhinus Oedicnemus	20	0.007
Buteo Regalis	20	0.007
Buteo Swainsoni	20	0.007
Catharus Guttatus	20	0.007
Centrocercus Minimus	20	0.007
Ceratitis Rosa	20	0.007
Ceratomyxa Shasta	20	0.007
Charadrius Alexandrinus	20	0.007
Cicindelidae	20	0.007
Cinclus Cinclus	20	0.007
Cnaphalocrocis Medinalis	20	0.007
Corynorhinus Rafinesquii	20	0.007
Crotalus Horridus	20	0.007
Culaea Inconstans	20	0.007
Cycloneda Sanguinea	20	0.007
Deltistes Luxatus	20	0.007
Dentex Dentex	20	0.007
Diomedea Exulans	20	0.007
Dryocopus Martius	20	0.007
Equus Grevyi	20	0.007
Erigone Atra	20	0.007
Falco Rusticolus	20	0.007
Frankliniella Fusca	20	0.007
Gallus Gallus	20	0.007
Gazella Cuvieri	20	0.007
Giardia	20	0.007
Heliothis Armigera	20	0.007
Herpestes Auropunctatus	20	0.007
Hyaena Hyaena	20	0.007
Lacerta Agilis	20	0.007
Lampetra Fluviatilis	20	0.007
Larus	20	0.007
Litoria Raniformis	20	0.007
Lontra Longicaudis	20	0.007
Lucanus Cervus	20	0.007
Maconellicoccus Hirsutus	20	0.007
Macropus Rufogriseus	20	0.007
Maculinea Arion	20	0.007
Meleagris Gallopavo Silvestris	20	0.007
Microtus Oeconomus	20	0.007
Myotis Bechsteinii	20	0.007
Myrmica Rubra	20	0.007
Neodiprion Sertifer	20	0.007
Notropis Hudsonius	20	0.007
Odocoileus Hemionus Hemionus	20	0.007
Oncorhynchus Clarkii Bouvieri	20	0.007
Orius Majusculus	20	0.007
Ovibos Moschatus	20	0.007
Oxyura Jamaicensis	20	0.007
Petroica Longipes	20	0.007
Phlebotomus	20	0.007
Podocnemis Unifilis	20	0.007
Ptychocheilus Oregonensis	20	0.007
Quiscalus Quiscula	20	0.007
Rana Sphenocephala	20	0.007
Recurvirostra Americana	20	0.007
Salmo Clarki	20	0.007
Saxicola Rubetra	20	0.007
Takifugu Obscurus	20	0.007
Tetrastichus Planipennisi	20	0.007
Theragra Chalcogramma	20	0.007
Tilapia Rendalli	20	0.007
Trissolcus Basalis	20	0.007
Urophora Quadrifasciata	20	0.007
Varanus Komodoensis	20	0.007
Vulpes Macrotis	20	0.007
Wallabia Bicolor	20	0.007
Acarina	19	0.006
Acipenser Oxyrinchus Desotoi	19	0.006
Acipenser Oxyrinchus Oxyrinchus	19	0.006
Acridotheres Tristis	19	0.006
Allolobophora Chlorotica	19	0.006
Alouatta Seniculus	19	0.006
Ambystoma Tigrinum	19	0.006
Anguillicola Crassus	19	0.006
Anisopteromalus Calandrae	19	0.006
Anser Caerulescens Caerulescens	19	0.006
Antechinus Stuartii	19	0.006
Anthophila	19	0.006
Barbus	19	0.006
Blattella Germanica	19	0.006
Cercopithecidae	19	0.006
Charadrius Vociferus	19	0.006
Chen Caerulescens	19	0.006
Chilo Suppressalis	19	0.006
Chlamydotis Macqueenii	19	0.006
Clemmys Guttata	19	0.006
Colobus Guereza	19	0.006
Cyprinodon Diabolis	19	0.006
Dendrobaena Octaedra	19	0.006
Diceros Bicornis Minor	19	0.006
Diglyphus Isaea	19	0.006
Emberiza Schoeniclus	19	0.006
Epinephelus Malabaricus	19	0.006
Erithacus Rubecula	19	0.006
Euphagus Carolinus	19	0.006
Falco Columbarius	19	0.006
Formica	19	0.006
Frankliniella Schultzei	19	0.006
Haematozoa	19	0.006
Ichneumonoidea	19	0.006
Iphiseius Degenerans	19	0.006
Leontopithecus Rosalia	19	0.006
Lissotriton Vulgaris	19	0.006
Lutra Canadensis	19	0.006
Macaca Silenus	19	0.006
Mazama Americana	19	0.006
Mergus Merganser	19	0.006
Micropterus Punctulatus	19	0.006
Microtus Longicaudus	19	0.006
Muntiacus Muntjak	19	0.006
Muscidifurax Raptor	19	0.006
Mystacina Tuberculata	19	0.006
Nabidae	19	0.006
Ninox Strenua	19	0.006
Nitidulidae	19	0.006
Oreochromis Aureus X Oreochromis Niloticus	19	0.006
Oreochromis Niloticus X Oreochromis Aureus	19	0.006
Oryx Gazella	19	0.006
Panthera Pardus Saxicolor	19	0.006
Passerina Cyanea	19	0.006
Pectinophora Gossypiella	19	0.006
Percidae	19	0.006
Perciformes	19	0.006
Perkinsus Marinus	19	0.006
Phylloscopus Sibilatrix	19	0.006
Pipistrellus Kuhlii	19	0.006
Podilymbus Podiceps	19	0.006
Pongo	19	0.006
Pontoscolex Corethrurus	19	0.006
Pseudacris Crucifer	19	0.006
Pseudacteon	19	0.006
Salvelinus	19	0.006
Sarotherodon Aureus	19	0.006
Sesamia Nonagrioides	19	0.006
Silphidae	19	0.006
Sorex	19	0.006
Speothos Venaticus	19	0.006
Tamiasciurus Hudsonicus Grahamensis	19	0.006
Tettigoniidae	19	0.006
Trichuris	19	0.006
Tubificidae	19	0.006
Urocyon Littoralis	19	0.006
Urophora Affinis	19	0.006
Zacco Platypus	19	0.006
Zenaida Asiatica	19	0.006
Achatina Fulica	18	0.006
Agriotes Lineatus	18	0.006
Alosa Alosa	18	0.006
Alouatta Caraya	18	0.006
Andrias Davidianus	18	0.006
Anopheles Albimanus	18	0.006
Antechinus Flavipes	18	0.006
Anthus Pratensis	18	0.006
Bembidion Lampros	18	0.006
Bettongia Penicillata	18	0.006
Bithynia Tentaculata	18	0.006
Bombus Hortorum	18	0.006
Botaurus Stellaris	18	0.006
Bucerotidae	18	0.006
Calyptorhynchus Latirostris	18	0.006
Catostomidae	18	0.006
Catostomus Discobolus	18	0.006
Cercopithecus Mitis	18	0.006
Cerdocyon Thous	18	0.006
Certhia Americana	18	0.006
Chlamys Farreri	18	0.006
Clethrionomys Rufocanus	18	0.006
Coenagrion Mercuriale	18	0.006
Columbidae	18	0.006
Cuculus Canorus	18	0.006
Dactylogyrus	18	0.006
Dermaptera	18	0.006
Diabrotica Undecimpunctata Howardi	18	0.006
Diplodus Puntazzo	18	0.006
Dreissenidae	18	0.006
Dromiciops Gliroides	18	0.006
Dysaphis Plantaginea	18	0.006
Eisenia Foetida	18	0.006
Emberiza Hortulana	18	0.006
Enchytraeus Crypticus	18	0.006
Eretmocerus Eremicus	18	0.006
Erythrura Gouldiae	18	0.006
Etheostoma Caeruleum	18	0.006
Euglena Gracilis	18	0.006
Euschistus Heros	18	0.006
Falco Peregrinus Anatum	18	0.006
Felis Concolor	18	0.006
Fopius Arisanus	18	0.006
Haliotis Rubra	18	0.006
Hexagenia Limbata	18	0.006
Hoplocephalus Bungaroides	18	0.006
Hydrophilidae	18	0.006
Hylidae	18	0.006
Lampsilis Fasciola	18	0.006
Laridae	18	0.006
Lathamus Discolor	18	0.006
Loxodonta Africana Cyclotis	18	0.006
Macaca	18	0.006
Macaca Fuscata	18	0.006
Macrocentrus Grandii	18	0.006
Melanerpes Erythrocephalus	18	0.006
Melitaea Cinxia	18	0.006
Microtus Montanus	18	0.006
Myotis Grisescens	18	0.006
Myxosporea	18	0.006
Nabis	18	0.006
Neofelis Nebulosa	18	0.006
Nephrops Norvegicus	18	0.006
Ostrinia Furnacalis	18	0.006
Paralichthys Dentatus	18	0.006
Paramisgurnus Dabryanus	18	0.006
Perccottus Glenii	18	0.006
Perissodactyla	18	0.006
Petroica Australis	18	0.006
Phacochoerus Africanus	18	0.006
Phyllotreta Cruciferae	18	0.006
